,,Picking Tool,,,,,,,,Placing Tool,,,,,,,,,,,,,,U
Tool,,Z1,X1,Y1,Y2,Z3,Y4,Z4,,Z1,X1,Y1,Y2,Z2,Y3,Z3,Y4,Z4,,,,,,
1,,143.5,8.8,15,15,160,50,160,,160,8.8,15,13,159,11,157.5,9,143.5,,,,,,2
2,,143.5,54.7,15,15,160,50,160,,160,54.7,15,13,159,11,157.5,9,143.5,,,,,,
3,,143.5,99.4,15,15,160,50,160,,160,99.4,15,13,159,11,157.5,9,143.5,,,,,,
4,,143.5,144.1,15,15,160,50,160,,160,144.1,15,13,159,11,157.5,9,143.5,,,,,,
5,,143.5,188.6,15,15,160,50,160,,160,188.6,15,13,159,11,157.5,9,143.5,,,,,,
6,,143.5,233.7,15,15,160,50,160,,160,233.7,15,13,159,11,157.5,9,143.5,,,,,,
7,,143.5,278.3,15,15,160,50,160,,160,278.3,15,13,159,11,157.5,9,143.5,,,,,,
8,,143.5,323.4,15,15,160,50,160,,160,323.4,15,13,159,11,157.5,9,143.5,,,,,,
9,,143.5,368,15,15,160,50,160,,160,368,15,13,159,10,157.5,9,143.5,,,,,,
10,,3.5,3.9,80,51,20,80,15,,19,3.9,80,51,19,50,17,48,3,,,,,,
11,,3.5,49.4,80,51,20,80,15,,19,49.4,80,51,19,50,17,48,3,,,,,,
12,,3.5,94.2,80,51,20,80,15,,19,94.2,80,51,19,50,17,48,3,,,,,,
13,,3.5,138.8,80,51,20,80,15,,19,138.8,80,51,19,50,17,48,3,,,,,,
14,,3.5,183.9,80,51,20,80,15,,19,183.9,80,51,19,50,17,48,3,,,,,,
15,,3.5,228.7,80,51,20,80,15,,19,228.7,80,51,19,50,17,48,3,,,,,,
16,,3.5,273.6,80,51,20,80,15,,19,273.6,80,51,19,50,17,48,3,,,,,,
17,,3.5,319.2,80,51,20,80,15,,19,319.2,80,51,19,49,17,48,3,,,,,,
18,,3.5,363.6,80,51,20,80,15,,19,363.6,80,51,19,49,17,48,3,,,,,,
Speed (F):,,1500,500,500,500,1000,1000,1000,,1500,500,500,500,1000,1000,1000,1000,1000,,,,,,